"Location","Name"
"800c1dc0","copystring"
"800c1e10","__dtostr"
"800c28a8","__v_printf"
"800c35b8","swrite"
"800c3654","vsnprintf"
"800c3708","sprintf"
"800c3734","__stdio_outs"
"800c37b0","vprintf"
"800c37f0","printf"
"800c3818","snprintf"
"800c3838","vsprintf"
"800c3860","ali_rand"
"800c389c","mem_set4"
"800c38c0","mem_copy4"
"800c38f8","memcpy"
"800c3b28","memset"
"800c3c08","memcmp"
"800c3c6c","memmove"
"800c3d38","strcpy"
"800c3d78","strcmp"
"800c3dbc","strlen"
"800c3de4","atoi"
"800c3e88","libc_memcpy"
"800c3ea4","libc_memset"
"800c3ec0","libc_memcmp"
"800c3edc","libc_memmove"
"800c3ef8","libc_strcpy"
"800c3f14","libc_strcmp"
"800c3f30","libc_strlen"
"800c3f54","mg_compute_crc"
"800c3fb0","mg_setup_crc_table"
"800c4018","mg_table_driven_crc"
"800c4064","tds_do_global_ctors"
"800c42f8","elog_init_800c42f8"
"800c436c","pan_open"
"800c43e8","pan_buff_clear"
"800c4478","pan_display"
"800c448c","sto_mutex_enter"
"800c44dc","sto_mutex_exit"
"800c44f8","sto_open"
"800c45dc","sto_get_data"
"800c4644","vpo_win_onoff"
"800c46e8","vpo_tvsys_ex"
"800c4710","vpo_ioctl"
"800c48e4","osd_dev_api_attach"
"800c49b0","osddrv_color_mode_to_ge"
"800c4bc0","osddrv_get_pitch"
"800c4c74","osddrv_open"
"800c4d54","osddrv_close"
"800c4e0c","osddrv_io_ctl"
"800c5124","osddrv_show_on_off"
"800c5438","osddrv_3x_create_region"
"800c56a0","osddrv_region_show"
"800c5708","osddrv_region_write"
"800c5cd8","osddrv_3x_region_write"
"800c5d14","osddrv_region_fill"
"800c5f10","osddrv_scale"
"800c61c8","vdec_start"
"800c61f0","vdec_stop"
"800c6218","vdec_vbv_request"
"800c6254","vdec_vbv_update"
"800c6278","vdec_set_output"
"800c6304","vdec_io_control"
"800c6348","get_selected_decoder"
"800c6400","set_avc_output_mode_check_cb"
"800c6508","video_decoder_select"
"800c7974","pan_id_set"
"800c7e80","pan_attach"
"800c8fa0","sto_local_flash_attach"
"800c92f8","sto_local_sflash_attach"
"800c9500","sto_sflash_identify"
"800ca7b8","sflash_wait_free"
"800ca8e4","sflash_write_enable"
"800cabac","sflash_get_id"
"800cb62c","sflash_ioctl"
"800cd040","sto_chunk_init"
"800cd508","set_default_value"
"800cd994","init_db"
"800cdabc","db_lcn_init"
"800cdd68","erase_tmp_sector"
"800cddf0","save_tmp_data"
"800cdee8","load_tmp_data"
"800ce6bc","osd_show_on_off"
"800cea28","mount_device"
"800cebdc","fs_symlink_"
"800cec28","fs_get_mount_name"
"800cf0a4","sd_notify"
"800cf124","sd_init"
"800cf1ac","fs_init"
"800cfb80","hde_get_mode"
"800cfb88","get_app_ver"
"800cfb94","get_sdk_ver"
"800d1d90","win32_init"
"800d2128","Curl_rand"
"800d2154","Curl_srand"
"800df6a8","system_strdup"
"800e2d5c","dprintf_formatf"
"800e394c","addbyter"
"800e3990","curl_mvsnprintf"
"800e3c20","curl_mfprintf"
"800e53fc","Curl_pgrsUpdate"
"800e5e28","time"
"800e5e5c","gmtime_r"
"800e6070","localtime"
"800e60a8","ncpy_800e60a8"
"800e66e0","__v_scanf"
"800e73fc","sgetc"
"800e7420","sputc"
"800e7444","vsscanf"
"800e7484","sscanf"
"800e74a8","elog_init_800e74a8"
"800e7534","elog_start"
