"Location","Name"
"803de260","gfn_retro_get_region"
"803de268","g_rom_buf_allocated"
"803de270","gfn_get_system_av_info"
"803de274","g_pal_ntsc"
"803de278","gfn_retro_unserialize"
"803de284","gfn_state_save"
"803de288","g_retro_input_state"
"803de290","gfn_retro_load_game"
"803de294","g_emu_type"
"803de298","gfn_retro_deinit"
"803de29c","rom_mem_buffer"
"803de2a4","gfn_frameskip"
"803de2a8","gfn_retro_run"
"803de5c8","system_config_bak"
"803e63ec","cur_local_tm"
"803fe95c","node_sdio_mass_storage_devs"
"804b9b2c","configuration"
"804c368c","g_run_snd_mix_buf"
"804c4458","gp_run_osd_buf"
"804c445c","g_run_osd_width"
"804c4460","g_run_osd_height"
"804c4464","g_run_osd_pixel_pitch"
"804c5554","gf_rom_buf_used"
"804c6654","g_save_directory"
"8068a108","system_config"
"8068b1d0","board_config"
"8069a3c0","IRQStack"
"8069e5d0","mg_crc_table"
"807d7444","gs_resource_legacy"
"807d7544","gs_mnt_sda1"
"807d7650","g_blit_src"
"807d780c","g_unwqw1_file_unc_size"
"807d7864","gs_run_game_name"
"807d78e4","g_run_snd_channels"
"807d792c","ga_menu_section_colors"
"807d7954","gs_run_game_file"
"807d89e4","g_blit_dst"
"807d89fc","gas_menu_section_folders"
"807d8f8c","gs_run_tmp"
"807d908c","g_run_ext"
"807d9098","key2"
"807d90b8","g_key_map"
"807d90e8","g_retro_game_info"
"807d90f8","g_run_game_path"
"807d91f8","g_system_av_info"
"807ed9d0","FSettings_SndRate"
"8089ac70","_end"
"b8800038","INT_MASK1"
"b880003c","INT_MASK2"
"b8800044","GPIOLCTRL"
"b8800060","CLK_GATE_CTRL0"
"b8800064","CLK_GATE_CTRL1"
"b8800080","RESET_CTRL0"
"b8800084","RESET_CTRL1"
"b88000c4","GPIOBCTRL"
"b88000e4","GPIORCTRL"
"b8800344","GPIOTCTRL"
"b8800444","GPIOxCTRL"
"b88004a0","PINMUXL"
"b88004c0","PINMUXB"
"b88004e0","PINMUXR"
"b8800500","PINMUXT"
